HANGUO,#genre#
KBS1,http://youtv.dothome.co.kr/ch/public/11.php
KBS1,http://youtv.dothome.co.kr/ch/public/12.php
KBS1,http://mytv.dothome.co.kr/ch/public/1.php
KBS1,http://mytv.dothome.co.kr/ch/public/1.php?checkedby:iptvcat.com
KBS1,http://mytv.dothome.co.kr/ch/public/12.php
KBS1,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=kbs1_540&sid=QNwU6Hlhm0iQWWfUrQ0b67VXds4sj4p3obr6MFdt&secret=1ac1dd83e3cd7930bf87e5c1fbe713df&time=1696828302
KBS1,https://tv.iill.top/kbs/11&p=0
KBS1,http://am30.modhospital.kr:9981/stream/channelid/114?ticket=4A2814C35C3585BA79A5EB04AB573B7DDDA1F261
KBS1,http://mytv.dothome.co.kr/ch/public/1.php/.m3u8
KBS1,http://mytv.dothome.co.kr/ch/public/11.php
KBS2,http://mytv.dothome.co.kr/ch/public/3.php
KBS2,http://mytv.dothome.co.kr/ch/public/3.php?checkedby:iptvcat.com
KBS2,http://mytv.dothome.co.kr/ch/public/3.php/.m3u8
KBS2,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=kbs2_540&sid=RbbcTZHmEnlKeN3sgMEKARGXKdWqnbz9ADgNNU7i&secret=dcc9a9d6b45c309e4a725322381e4dae&time=1696828290
KBS2,http://am30.modhospital.kr:9981/stream/channelid/117?ticket=DF419E5D312B3ACE955ECF93B1B89CC9A3834E35
KBS2,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs2_540&sid=nGwIH0XSiD8i6BgNlw1BzsZ9ZkNGavHRb7KWRaUB&secret=24378334b2628dc756899977221fbe37&time=1742499579
KBS2,https://tv.iill.top/kbs/12&p=0
SBS,http://www.hwado.net/webtv/catv/502_76142D8F.php
SBS,https://tistory1.daumcdn.net/tistory/2864460/skin/images/CATV_2_76142D8F.m3u8
SBS,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=sbs_540&sid=CK45nVecsqumJABGLWQSH9lLnJLYCsrHqRYvh8yT&secret=c924444c2e10e6a9d11fd26170a3f60c&time=1742499811
SBS,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=sbs_540&sid=GGDC0gwz3QeUI0p2Z4RPOEsj7LGFSw61ci0Vh6Z0&secret=1196d46edb0e54cba5b5850c62672fae&time=1696828259
SBS,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
SBS,http://119.200.131.11:1935/KBCTV/tv/chunklist_w1292651282.m3u8
SBS,https://yao.ng/c5hQjT
SBS,https://stream1.knn.co.kr/hls/9ly4534y7dm2xfa123r2_tv/index.m3u8
SBS,http://1.245.74.5:1935/live/tv/chunklist_b2500000.m3u8
MBC,http://www.hwado.net/webtv/catv/503_CFEA7803.php
MBC,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=mbc_540&sid=Goq6ILESrcaM2Hi4vnr7bNx400cW1BcP9Jmv1Xh1&secret=a354329c49edea258c73d3c2895f67fb&time=1696828264
MBC,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
MBC,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=mbc_540&sid=cYv0MwcyxtgbkvkdS30WL46OlWzp3kWCZFidZJGK&secret=e621dd2e826c29c6b98bd22932c77424&time=1742499690
MBC,https://live.imnews.imbc.com/imnews/_definst_/live2.stream/chunklist_w1200750983.m3u8?e=1742456994&h=deb728b4adc9816d9ff79e46033199e0
MBC,https://ns1.tjmbc.co.kr/live/myStream.sdp/playlist.m3u8
MBC综艺,https://ns1.tjmbc.co.kr/live/myStream.sdp/chunklist_w1527660410.m3u8
MBC综艺,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC综艺,http://vod.mpmbc.co.kr:1935/live/encoder-tv/chunklist_b2500000.m3u8
MBC综艺,http://vod.mpmbc.co.kr:1935/live/encoder-tv/chunklist_w1728125568.m3u8
MBC综艺,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC综艺,http://vod.mpmbc.co.kr:1935/live/encoder-tv/chunklist_w927448341.m3u8
MBC Chungbuk (MBC 충북),http://211.33.246.4:32954/cj_live/myStream.sdp/playlist.m3u8
MBN,http://mytv.dothome.co.kr/ch/catv/54.php
MBN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=mbn_540&sid=JrgTsnJKQo0TU9yiyoZf7eA9llHJEMpTQlgyggsJ&secret=68b0e61613ec8fda51fd248052b6aa69&time=1742500229
MBN,https://wms2-kortv.akamaized.net/a_live/81992167/smil:20tv121.smil/chunklist_b2500000.m3u8
MBN,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=mbn_540&sid=GlUdYg7Z1IHENOX9Vlh6HaYb2d7YE4WxVzhfCuxk&secret=1dab1e579ee8c15701b98ce61d3302a2&time=1696828216
JTBC,http://119.66.83.26:9981/stream/channelid/46?ticket=C2BCB89D133C7E10AE722991D5DB004C7D3CDE82
JTBC,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=jtbc_540&sid=ueRIPcU1CmpLxvesJU3p3VVgAfWDA7Gq6Ok1SwdS&secret=7e0fd7ca14ec47bd96aca368dade12a4&time=1742499897
JTBC,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=jtbc_540&sid=ZfYLmCS2LAVFGnzKz0qQJeKSYNxa40RdPCsZ5t8F&secret=cb8acc5493b139934dda859a6f729088&time=1696828247
JTBC,https://stream1.freetv.fun/8b1c52f39a4ef46999fe17e77676c4391ea6acb0c863a0168ac35780a0a992f6.m3u8
JTBC,https://i.mjh.nz/SamsungTVPlus/KRBC46000173Y.m3u8
JTBC,https://epg.pw/stream/9c683f5e12d8f5a1230c18b13ed38758022b4eba4978c95f8740c6e1c7620a15.m3u8
JTBC,http://110.47.7.144:9981/stream/channelid/46
KBS24,http://mytv.dothome.co.kr/ch/catv/1.php
KBS24,https://livestreams.mewinnie.gq/livestreams/kr_live/kbs.php?id=81
KBS24,https://code.vthanhtivi.pw/getlink/kbs/81/playlist.m3u8
KBS24,http://mytv.dothome.co.kr/ch/catv/1.php
KBS24,http://ye23.vip/z7z8/2021/kbs2020.php?id=4
KBS24,http://luotuo.ycchenrong.cn/dl/kbs.php?id=4
KBS24,http://han.ddkdxmkj.com/api/kbs.php?id=4
YTN,https://d1qpa642pafi0d.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-smxexj48frsds/ytn/master/playlist.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7D
YTN,http://210.92.207.38:40001
YTN,https://tistory1.daumcdn.net/tistory/2864485/skin/images/CATV_215_6B2BDBDE.m3u8
YTN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=ytn_540&sid=HxS8g2O614Z22pnhG5974Hey06SlgSHeT24eUPwD&secret=3d4c2a8304d1673ecd3114c5c6f48568&time=1742500356
Yonhap News TV,https://jmp2.uk/sam-KRBD1400001ED.m3u8
Yonhap News TV,https://tistory1.daumcdn.net/tistory/2864485/skin/images/CATV_216_AB271679.m3u8
Yonhap News TV,https://dvar4azmtmll0.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-6tpj7htwv2prd/master.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7D
Yonhap News TV,https://2f1692522a3a425d9df0c8cc9bda9fd5.mediatailor.ap-northeast-1.amazonaws.com/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-6tpj7htwv2prd/4240af35-d89e-4df3-b98b-a554406b4b72/2.m3u8
Yonhap News TV,http://mytv.dothome.co.kr/ch/catv/216.php
tvN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=tvn_540&sid=7ShO5pdx6qZfpHlGmEfTN5B4uZjDTHh5VGBEB9jZ&secret=3e346c2d333f3ee2c6e6e6564e20b745&time=1742501727
tvN,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=tvn_540&sid=uORugilXcYkrTH4BM6yNLXjkHWB6ki7fRC45zEsC&secret=b4a84163ab39a494b8f68a3e55e12f54&time=1696829038
tvN,http://aktv_stream1.m16tv.cfd/stream/aktv/tvn/AKTV.m3u8
tvN,https://c4c11e7fe6e1498387f3e8389ef9409d.mediatailor.ap-northeast-2.amazonaws.com/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-jg1y2uft53fob/2474e9fd-8f38-40d0-aca5-cfcfec684660/0.m3u8
tvN,https://d2zyqoz1zsj2mq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-i9yul1lyegl6e-ssai-prd/6d07fe2a_003a_4879_acfc_44e3c3c10f03/hls/playlist.m3u8
tvN,https://d2mtknivycr9zl.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-ndbnpcfczvjbq-ssai-prd/b32caf42_751e_4035_8904_b2cded676be7/hls/playlist.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7D&ads.service_id=KRBC32000156C
TV CHOSUN,http://onair.cdn.tvchosun.com/origin1/_definst_/tvchosun_s1/playlist.m3u8
TV CHOSUN,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=tvchosun_540&sid=OwakpK9VxiyYZxG0w2ntMy7gc69tkQPm2EJTK39I&secret=fb1bcf51bb82ca66a35351f7efdc6195&time=1696828232
TV CHOSUN,https://wms003-kortv.akamaized.net/a_live/24830003/tv301.smil/chunklist-b1800000.m3u8
TV CHOSUN,http://onair.cdn.tvchosun.com/origin1/_definst_/tvchosun_s1/chunklist.m3u8
TV CHOSUN,http://onair.cdn.tvchosun.com/origin1/_definst_/tvchosun_s3/chunklist.m3u8
TV CHOSUN,https://stream1.freetv.fun/8166a6f5f187cc363b60f8fb6a962bd4d1185c29b3bfe6c7a9438eea22704af5.m3u8
TV CHOSUN2,http://onair2cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/chunklist.m3u8
TV CHOSUN2,http://onair2.cdn.tvchosun.com/origin2/_definst_/tvchosun_s1/chunklist.m3u8
TV CHOSUN2,https://stream1.freetv.fun/4ff90dda9533fe2cd53d1bbf633bea31b5c57aad731509841c834501d1dc7072.m3u8
TV CHOSUN2,http://onair2cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/chunklist_b2500000.m3u8
TV CHOSUN2,http://onair2.cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/playlist.m3u8
Channel A,http://www.hwado.net/webtv/catv/52_440DDPPJ.php
Channel A,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=channela_540&sid=zLhHxUtd4yz2toiohNMEfx63yhemDSOd2xgsFaBV&secret=ad760dc9b77c911e341d5e114e36feff&time=1742500133
Channel A,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=channela_540&sid=gSPMvmupcgomNGTxYbxl5ESzZVhHgDEVCdZ6rA5D&secret=b16c6e42f101bd3e68a05bba5018bd97&time=1696828223
Channel A,http://channelalive.ktcdn.co.kr/chalivepc/_definst_/atv2/playlist.m3u8
